L,l,Delta,Rho,Kappa
6,3,0.540000,1.580443,0.853439
6,3,0.550000,1.598733,0.879303
6,3,0.560000,1.610115,0.901665
6,3,0.570000,1.624584,0.926013
6,3,0.580000,1.646379,0.954900
6,3,0.590000,1.662972,0.981153
6,4,0.020000,0.448128,0.008963
6,4,0.040000,0.251963,0.010079
6,4,0.050000,0.195248,0.009762
6,4,0.060000,0.363785,0.021827
6,4,0.070000,0.398825,0.027918
6,4,0.080000,0.524992,0.041999
6,4,0.090000,0.536323,0.048269
6,4,0.100000,0.682782,0.068278
6,4,0.110000,0.683691,0.075206
6,4,0.120000,0.727495,0.087299
6,4,0.130000,0.805001,0.104650
6,4,0.140000,0.849892,0.118985
6,4,0.150000,0.859845,0.128977
6,4,0.160000,0.889571,0.142331
6,4,0.170000,0.933327,0.158666
6,4,0.180000,0.957407,0.172333
6,4,0.190000,1.010526,0.192000
6,4,0.200000,1.045000,0.209000
6,4,0.210000,1.047619,0.220000
6,4,0.220000,1.063636,0.234000
6,4,0.230000,1.092754,0.251333
6,4,0.240000,1.101389,0.264333
6,4,0.250000,1.128000,0.282000
6,4,0.260000,1.152564,0.299667
6,4,0.270000,1.175309,0.317333
6,4,0.280000,1.188095,0.332667
6,4,0.290000,1.197701,0.347333
6,4,0.300000,1.221111,0.366333
6,4,0.310000,1.246237,0.386333
6,4,0.320000,1.253125,0.401000
6,4,0.330000,1.259596,0.415667
6,4,0.340000,1.278431,0.434667
6,4,0.350000,1.292381,0.452333
6,4,0.360000,1.312963,0.472667
6,4,0.370000,1.329730,0.492000
6,4,0.380000,1.350000,0.513000
6,4,0.390000,1.358120,0.529667
6,4,0.400000,1.384167,0.553667
6,4,0.410000,1.384553,0.567667
6,4,0.420000,1.396032,0.586333
6,4,0.430000,1.415504,0.608667
6,4,0.440000,1.421970,0.625667
6,4,0.450000,1.440741,0.648333
6,4,0.460000,1.463768,0.673333
6,4,0.470000,1.470922,0.691333
6,4,0.480000,1.483333,0.712000
6,4,0.490000,1.492517,0.731333
6,4,0.500000,1.514000,0.757000
6,4,0.510000,1.524840,0.777668
6,4,0.520000,1.537842,0.799678
6,4,0.530000,1.541560,0.817027
6,4,0.540000,1.559903,0.842347
6,4,0.550000,1.577153,0.867434
6,4,0.560000,1.588351,0.889477
6,4,0.570000,1.597135,0.910367
6,4,0.580000,1.601303,0.928756
6,4,0.590000,1.624451,0.958426
6,4,0.600000,1.631900,0.979140
6,4,0.610000,1.633507,0.996439
6,5,0.020000,0.477878,0.009558
6,5,0.030000,0.155918,0.004678
6,5,0.040000,0.226023,0.009041
6,5,0.050000,0.281537,0.014077
6,5,0.060000,0.378408,0.022704
6,5,0.070000,0.379291,0.026550
6,5,0.080000,0.458272,0.036662
6,5,0.090000,0.503476,0.045313
6,5,0.100000,0.547396,0.054740
6,5,0.110000,0.574245,0.063167
6,5,0.120000,0.624611,0.074953
6,5,0.130000,0.681493,0.088594
6,5,0.140000,0.716506,0.100311
6,5,0.150000,0.724308,0.108646
6,5,0.160000,0.754141,0.120663
6,5,0.170000,0.750858,0.127646
6,5,0.180000,0.801842,0.144332
6,5,0.190000,0.843842,0.160330
6,5,0.200000,0.869996,0.173999
6,5,0.210000,0.888885,0.186666
6,5,0.220000,0.892422,0.196333
6,5,0.230000,0.914492,0.210333
6,5,0.240000,0.931944,0.223667
6,5,0.250000,0.940000,0.235000
6,5,0.260000,0.978205,0.254333
6,5,0.270000,0.987654,0.266667
6,5,0.280000,1.004762,0.281333
6,5,0.290000,1.025287,0.297333
6,5,0.300000,1.045556,0.313667
6,5,0.310000,1.059140,0.328333
6,5,0.320000,1.076042,0.344333
6,5,0.330000,1.070707,0.353333
6,5,0.340000,1.096078,0.372667
6,5,0.350000,1.100000,0.385000
6,5,0.360000,1.125000,0.405000
6,5,0.370000,1.131532,0.418667
6,5,0.380000,1.148246,0.436333
6,5,0.390000,1.163248,0.453667
6,5,0.400000,1.178333,0.471333
6,5,0.410000,1.188618,0.487333
6,5,0.420000,1.201587,0.504667
6,5,0.430000,1.222481,0.525667
6,5,0.440000,1.234848,0.543333
6,5,0.450000,1.242963,0.559333
6,5,0.460000,1.252899,0.576333
6,5,0.470000,1.272340,0.598000
6,5,0.480000,1.276389,0.612667
6,5,0.490000,1.278912,0.626667
6,5,0.500000,1.306000,0.653000
6,5,0.510000,1.317647,0.672000
6,5,0.520000,1.326282,0.689667
6,5,0.530000,1.318868,0.699000
6,5,0.540000,1.347531,0.727667
6,5,0.550000,1.344243,0.739334
6,5,0.560000,1.361906,0.762667
6,5,0.570000,1.373686,0.783001
6,5,0.580000,1.389662,0.806004
6,5,0.590000,1.407359,0.830342
6,5,0.600000,1.413366,0.848020
6,5,0.610000,1.418713,0.865415
6,5,0.620000,1.423842,0.882782
6,5,0.630000,1.426667,0.898800
6,5,0.640000,1.456079,0.931891
6,5,0.650000,1.472444,0.957089
6,5,0.660000,1.463742,0.966069
6,5,0.670000,1.459465,0.977842
8,2,0.020000,0.118866,0.002377
8,2,0.030000,0.132048,0.003961
8,2,0.040000,0.246337,0.009853
8,2,0.050000,0.267672,0.013384
8,2,0.060000,0.339224,0.020353
8,2,0.070000,0.434484,0.030414
8,2,0.080000,0.459773,0.036782
8,2,0.090000,0.514255,0.046283
8,2,0.100000,0.535170,0.053517
8,2,0.110000,0.618046,0.067985
8,2,0.120000,0.619244,0.074309
8,2,0.130000,0.630734,0.081995
8,2,0.140000,0.659497,0.092330
8,2,0.150000,0.682210,0.102332
8,2,0.160000,0.714579,0.114333
8,2,0.170000,0.758823,0.129000
8,2,0.180000,0.742586,0.133666
8,2,0.190000,0.756140,0.143667
8,2,0.200000,0.790000,0.158000
8,2,0.210000,0.811111,0.170333
8,2,0.220000,0.845455,0.186000
8,2,0.230000,0.865217,0.199000
8,2,0.240000,0.862500,0.207000
8,2,0.250000,0.882667,0.220667
8,2,0.260000,0.903846,0.235000
8,2,0.270000,0.904938,0.244333
8,2,0.280000,0.930952,0.260667
8,2,0.290000,0.944828,0.274000
8,2,0.300000,0.954444,0.286333
8,2,0.310000,0.958065,0.297000
8,2,0.320000,0.994792,0.318333
8,2,0.330000,1.033333,0.341000
8,2,0.340000,1.044118,0.355000
8,2,0.350000,1.046667,0.366333
8,2,0.360000,1.059259,0.381333
8,2,0.370000,1.091892,0.404000
8,2,0.380000,1.106140,0.420333
8,2,0.390000,1.135897,0.443000
8,2,0.400000,1.154167,0.461667
8,2,0.410000,1.160976,0.476000
8,2,0.420000,1.194444,0.501667
8,2,0.430000,1.206202,0.518667
8,2,0.440000,1.248485,0.549333
8,2,0.450000,1.274815,0.573667
8,2,0.460000,1.291304,0.594000
8,2,0.470000,1.326950,0.623667
8,2,0.480000,1.365973,0.655667
8,2,0.490000,1.363947,0.668334
8,2,0.500000,1.394003,0.697002
8,2,0.510000,1.434665,0.731679
8,2,0.520000,1.413479,0.735009
8,2,0.530000,1.474380,0.781422
8,2,0.540000,1.483751,0.801226
8,2,0.550000,1.580405,0.869223
8,2,0.560000,1.589524,0.890134
8,2,0.570000,1.614839,0.920458
8,2,0.580000,1.673770,0.970787
8,2,0.590000,1.659962,0.979378
8,4,0.020000,0.464286,0.009286
8,4,0.030000,0.316020,0.009481
8,4,0.040000,0.244894,0.009796
8,4,0.050000,0.257744,0.012887
8,4,0.060000,0.401112,0.024067
8,4,0.070000,0.434514,0.030416
8,4,0.080000,0.593116,0.047449
8,4,0.090000,0.694129,0.062472
8,4,0.100000,0.728267,0.072827
8,4,0.110000,0.784528,0.086298
8,4,0.120000,0.883327,0.105999
8,4,0.130000,0.928183,0.120664
8,4,0.140000,0.980951,0.137333
8,4,0.150000,0.993332,0.149000
8,4,0.160000,1.020833,0.163333
8,4,0.170000,1.054902,0.179333
8,4,0.180000,1.092592,0.196667
8,4,0.190000,1.100000,0.209000
8,4,0.200000,1.118333,0.223667
8,4,0.210000,1.136508,0.238667
8,4,0.220000,1.145455,0.252000
8,4,0.230000,1.185507,0.272667
8,4,0.240000,1.218056,0.292333
8,4,0.250000,1.228000,0.307000
8,4,0.260000,1.252564,0.325667
8,4,0.270000,1.262963,0.341000
8,4,0.280000,1.300000,0.364000
8,4,0.290000,1.303448,0.378000
8,4,0.300000,1.318889,0.395667
8,4,0.310000,1.324731,0.410667
8,4,0.320000,1.365625,0.437000
8,4,0.330000,1.374747,0.453667
8,4,0.340000,1.397059,0.475000
8,4,0.350000,1.412381,0.494333
8,4,0.360000,1.419444,0.511000
8,4,0.370000,1.423423,0.526667
8,4,0.380000,1.456140,0.553333
8,4,0.390000,1.474359,0.575000
8,4,0.400000,1.495833,0.598333
8,4,0.410000,1.500813,0.615333
8,4,0.420000,1.515079,0.636333
8,4,0.430000,1.534109,0.659667
8,4,0.440000,1.556061,0.684667
8,4,0.450000,1.553333,0.699000
8,4,0.460000,1.589131,0.731000
8,4,0.470000,1.598583,0.751334
8,4,0.480000,1.618753,0.777001
8,4,0.490000,1.630629,0.799008
8,4,0.500000,1.638020,0.819010
8,4,0.510000,1.658267,0.845716
8,4,0.520000,1.674482,0.870731
8,4,0.530000,1.682808,0.891888
8,4,0.540000,1.697889,0.916860
8,4,0.550000,1.718875,0.945381
8,4,0.560000,1.727042,0.967143
8,4,0.570000,1.723660,0.982486
8,5,0.020000,0.464286,0.009286
8,5,0.030000,0.009999,0.000300
8,5,0.040000,0.204184,0.008167
8,5,0.050000,0.219630,0.010982
8,5,0.060000,0.365805,0.021948
8,5,0.070000,0.499546,0.034968
8,5,0.080000,0.599340,0.047947
8,5,0.090000,0.672776,0.060550
8,5,0.100000,0.782974,0.078297
8,5,0.110000,0.845308,0.092984
8,5,0.120000,0.874972,0.104997
8,5,0.130000,0.933302,0.121329
8,5,0.140000,0.938076,0.131331
8,5,0.150000,0.999998,0.150000
8,5,0.160000,1.041666,0.166666
8,5,0.170000,1.049020,0.178333
8,5,0.180000,1.072222,0.193000
8,5,0.190000,1.140351,0.216667
8,5,0.200000,1.151667,0.230333
8,5,0.210000,1.171429,0.246000
8,5,0.220000,1.175758,0.258667
8,5,0.230000,1.198551,0.275667
8,5,0.240000,1.215278,0.291667
8,5,0.250000,1.240000,0.310000
8,5,0.260000,1.252564,0.325667
8,5,0.270000,1.274074,0.344000
8,5,0.280000,1.295238,0.362667
8,5,0.290000,1.329885,0.385667
8,5,0.300000,1.332222,0.399667
8,5,0.310000,1.344086,0.416667
8,5,0.320000,1.368750,0.438000
8,5,0.330000,1.375758,0.454000
8,5,0.340000,1.407843,0.478667
8,5,0.350000,1.418095,0.496333
8,5,0.360000,1.433333,0.516000
8,5,0.370000,1.443243,0.534000
8,5,0.380000,1.459649,0.554667
8,5,0.390000,1.474359,0.575000
8,5,0.400000,1.482500,0.593000
8,5,0.410000,1.510569,0.619333
8,5,0.420000,1.519841,0.638333
8,5,0.430000,1.537984,0.661333
8,5,0.440000,1.556818,0.685000
8,5,0.450000,1.564444,0.704000
8,5,0.460000,1.584058,0.728667
8,5,0.470000,1.582979,0.744000
8,5,0.480000,1.605556,0.770667
8,5,0.490000,1.625174,0.796335
8,5,0.500000,1.628671,0.814335
8,5,0.510000,1.629428,0.831008
8,5,0.520000,1.661642,0.864054
8,5,0.530000,1.663745,0.881785
8,5,0.540000,1.687190,0.911082
8,5,0.550000,1.682477,0.925362
8,5,0.560000,1.718725,0.962486
8,5,0.570000,1.730602,0.986443
8,5,0.580000,1.719905,0.997545
8,6,0.020000,0.118866,0.002377
8,6,0.040000,0.250610,0.010024
8,6,0.050000,0.257744,0.012887
8,6,0.060000,0.399035,0.023942
8,6,0.070000,0.423615,0.029653
8,6,0.080000,0.551975,0.044158
8,6,0.090000,0.688245,0.061942
8,6,0.100000,0.668181,0.066818
8,6,0.110000,0.772644,0.084991
8,6,0.120000,0.810988,0.097319
8,6,0.130000,0.869189,0.112995
8,6,0.140000,0.897597,0.125664
8,6,0.150000,0.913327,0.136999
8,6,0.160000,0.958329,0.153333
8,6,0.170000,0.984312,0.167333
8,6,0.180000,0.990740,0.178333
8,6,0.190000,1.024561,0.194667
8,6,0.200000,1.061667,0.212333
8,6,0.210000,1.084127,0.227667
8,6,0.220000,1.100000,0.242000
8,6,0.230000,1.143478,0.263000
8,6,0.240000,1.144444,0.274667
8,6,0.250000,1.156000,0.289000
8,6,0.260000,1.180769,0.307000
8,6,0.270000,1.193827,0.322333
8,6,0.280000,1.214286,0.340000
8,6,0.290000,1.229885,0.356667
8,6,0.300000,1.232222,0.369667
8,6,0.310000,1.251613,0.388000
8,6,0.320000,1.291667,0.413333
8,6,0.330000,1.279798,0.422333
8,6,0.340000,1.307843,0.444667
8,6,0.350000,1.315238,0.460333
8,6,0.360000,1.338889,0.482000
8,6,0.370000,1.340541,0.496000
8,6,0.380000,1.353509,0.514333
8,6,0.390000,1.369231,0.534000
8,6,0.400000,1.394167,0.557667
8,6,0.410000,1.402439,0.575000
8,6,0.420000,1.392857,0.585000
8,6,0.430000,1.424031,0.612333
8,6,0.440000,1.439394,0.633333
8,6,0.450000,1.448148,0.651667
8,6,0.460000,1.471015,0.676667
8,6,0.470000,1.485816,0.698333
8,6,0.480000,1.493056,0.716667
8,6,0.490000,1.502721,0.736333
8,6,0.500000,1.516000,0.758000
8,6,0.510000,1.518955,0.774667
8,6,0.520000,1.526925,0.794001
8,6,0.530000,1.544657,0.818668
8,6,0.540000,1.555593,0.840020
8,6,0.550000,1.569105,0.863008
8,6,0.560000,1.581707,0.885756
8,6,0.570000,1.603219,0.913835
8,6,0.580000,1.606591,0.931823
8,6,0.590000,1.616711,0.953860
8,6,0.600000,1.623100,0.973860
10,2,0.020000,0.464286,0.009286
10,2,0.030000,0.316020,0.009481
10,2,0.040000,0.189246,0.007570
10,2,0.050000,0.221930,0.011097
10,2,0.060000,0.333677,0.020021
10,2,0.070000,0.346636,0.024264
10,2,0.080000,0.478754,0.038300
10,2,0.090000,0.506182,0.045556
10,2,0.100000,0.508788,0.050879
10,2,0.110000,0.551326,0.060646
10,2,0.120000,0.566587,0.067990
10,2,0.130000,0.635863,0.082662
10,2,0.140000,0.630946,0.088332
10,2,0.150000,0.655551,0.098333
10,2,0.160000,0.660416,0.105666
10,2,0.170000,0.678427,0.115333
10,2,0.180000,0.698147,0.125667
10,2,0.190000,0.724561,0.137667
10,2,0.200000,0.766666,0.153333
10,2,0.210000,0.760317,0.159667
10,2,0.220000,0.762121,0.167667
10,2,0.230000,0.797101,0.183333
10,2,0.240000,0.811111,0.194667
10,2,0.250000,0.832000,0.208000
10,2,0.260000,0.834615,0.217000
10,2,0.270000,0.848148,0.229000
10,2,0.280000,0.877381,0.245667
10,2,0.290000,0.901149,0.261333
10,2,0.300000,0.880000,0.264000
10,2,0.310000,0.921505,0.285667
10,2,0.320000,0.933333,0.298667
10,2,0.330000,0.963636,0.318000
10,2,0.340000,0.977451,0.332333
10,2,0.350000,1.000952,0.350333
10,2,0.360000,1.018519,0.366667
10,2,0.370000,1.015315,0.375667
10,2,0.380000,1.055263,0.401000
10,2,0.390000,1.097436,0.428000
10,2,0.400000,1.094167,0.437667
10,2,0.410000,1.148780,0.471000
10,2,0.420000,1.171429,0.492000
10,2,0.430000,1.141860,0.491000
10,2,0.440000,1.190909,0.524000
10,2,0.450000,1.249630,0.562333
10,2,0.460000,1.244203,0.572333
10,2,0.470000,1.269504,0.596667
10,2,0.480000,1.330556,0.638667
10,2,0.490000,1.374830,0.673667
10,2,0.500000,1.357356,0.678678
10,2,0.510000,1.425517,0.727014
10,2,0.520000,1.489724,0.774657
10,2,0.530000,1.523598,0.807507
10,2,0.540000,1.613207,0.871132
10,2,0.550000,1.594578,0.877018
10,2,0.560000,1.620663,0.907571
10,2,0.570000,1.638893,0.934169
10,2,0.580000,1.708184,0.990747
10,2,0.600000,1.658004,0.994802
10,4,0.020000,0.464286,0.009286
10,4,0.040000,0.174332,0.006973
10,4,0.050000,0.268578,0.013429
10,4,0.060000,0.485694,0.029142
10,4,0.070000,0.536358,0.037545
10,4,0.080000,0.578158,0.046253
10,4,0.090000,0.715549,0.064399
10,4,0.100000,0.732585,0.073258
10,4,0.110000,0.796038,0.087564
10,4,0.120000,0.861091,0.103331
10,4,0.130000,0.910255,0.118333
10,4,0.140000,0.947616,0.132666
10,4,0.150000,0.997778,0.149667
10,4,0.160000,0.972916,0.155667
10,4,0.170000,1.031372,0.175333
10,4,0.180000,1.040741,0.187333
10,4,0.190000,1.107018,0.210333
10,4,0.200000,1.098333,0.219667
10,4,0.210000,1.122222,0.235667
10,4,0.220000,1.153030,0.253667
10,4,0.230000,1.168116,0.268667
10,4,0.240000,1.190278,0.285667
10,4,0.250000,1.212000,0.303000
10,4,0.260000,1.212821,0.315333
10,4,0.270000,1.246914,0.336667
10,4,0.280000,1.254762,0.351333
10,4,0.290000,1.272414,0.369000
10,4,0.300000,1.293333,0.388000
10,4,0.310000,1.319355,0.409000
10,4,0.320000,1.345833,0.430667
10,4,0.330000,1.353535,0.446667
10,4,0.340000,1.385294,0.471000
10,4,0.350000,1.385714,0.485000
10,4,0.360000,1.398148,0.503333
10,4,0.370000,1.421622,0.526000
10,4,0.380000,1.434211,0.545000
10,4,0.390000,1.470085,0.573333
10,4,0.400000,1.480833,0.592333
10,4,0.410000,1.491870,0.611667
10,4,0.420000,1.523016,0.639667
10,4,0.430000,1.526357,0.656333
10,4,0.440000,1.561364,0.687000
10,4,0.450000,1.576296,0.709333
10,4,0.460000,1.571739,0.723000
10,4,0.470000,1.609220,0.756334
10,4,0.480000,1.609029,0.772334
10,4,0.490000,1.644227,0.805671
10,4,0.500000,1.660713,0.830356
10,4,0.510000,1.673249,0.853357
10,4,0.520000,1.688535,0.878038
10,4,0.530000,1.707728,0.905096
10,4,0.540000,1.725508,0.931775
10,4,0.550000,1.759092,0.967500
10,4,0.560000,1.734789,0.971482
10,5,0.020000,0.464286,0.009286
10,5,0.040000,0.226318,0.009053
10,5,0.050000,0.312440,0.015622
10,5,0.060000,0.352937,0.021176
10,5,0.070000,0.515636,0.036095
10,5,0.080000,0.612088,0.048967
10,5,0.090000,0.719887,0.064790
10,5,0.100000,0.806202,0.080620
10,5,0.110000,0.890674,0.097974
10,5,0.120000,0.919444,0.110333
10,5,0.130000,0.992300,0.128999
10,5,0.140000,1.028571,0.144000
10,5,0.150000,1.053333,0.158000
10,5,0.160000,1.116667,0.178667
10,5,0.170000,1.131372,0.192333
10,5,0.180000,1.153704,0.207667
10,5,0.190000,1.187719,0.225667
10,5,0.200000,1.190000,0.238000
10,5,0.210000,1.233333,0.259000
10,5,0.220000,1.225758,0.269667
10,5,0.230000,1.265217,0.291000
10,5,0.240000,1.277778,0.306667
10,5,0.250000,1.296000,0.324000
10,5,0.260000,1.317949,0.342667
10,5,0.270000,1.340741,0.362000
10,5,0.280000,1.361905,0.381333
10,5,0.290000,1.383908,0.401333
10,5,0.300000,1.401111,0.420333
10,5,0.310000,1.415054,0.438667
10,5,0.320000,1.437500,0.460000
10,5,0.330000,1.450505,0.478667
10,5,0.340000,1.461765,0.497000
10,5,0.350000,1.481905,0.518667
10,5,0.360000,1.493519,0.537667
10,5,0.370000,1.517117,0.561333
10,5,0.380000,1.528070,0.580667
10,5,0.390000,1.548718,0.604000
10,5,0.400000,1.570000,0.628000
10,5,0.410000,1.569106,0.643333
10,5,0.420000,1.596825,0.670667
10,5,0.430000,1.616279,0.695000
10,5,0.440000,1.627273,0.716000
10,5,0.450000,1.654074,0.744333
10,5,0.460000,1.654348,0.761000
10,5,0.470000,1.670923,0.785334
10,5,0.480000,1.689586,0.811001
10,5,0.490000,1.705472,0.835681
10,5,0.500000,1.721377,0.860689
10,5,0.510000,1.724972,0.879736
10,5,0.520000,1.742823,0.906268
10,5,0.530000,1.765470,0.935699
10,5,0.540000,1.782179,0.962377
10,5,0.550000,1.813084,0.997196
10,6,0.030000,0.309524,0.009286
10,6,0.050000,0.333453,0.016673
10,6,0.060000,0.307457,0.018447
10,6,0.070000,0.486064,0.034024
10,6,0.080000,0.605412,0.048433
10,6,0.090000,0.708325,0.063749
10,6,0.100000,0.822506,0.082251
10,6,0.110000,0.884708,0.097318
10,6,0.120000,0.947178,0.113661
10,6,0.130000,1.041024,0.135333
10,6,0.140000,1.049999,0.147000
10,6,0.150000,1.082222,0.162333
10,6,0.160000,1.089583,0.174333
10,6,0.170000,1.147059,0.195000
10,6,0.180000,1.174074,0.211333
10,6,0.190000,1.175439,0.223333
10,6,0.200000,1.228333,0.245667
10,6,0.210000,1.236508,0.259667
10,6,0.220000,1.253030,0.275667
10,6,0.230000,1.284058,0.295333
10,6,0.240000,1.286111,0.308667
10,6,0.250000,1.322667,0.330667
10,6,0.260000,1.346154,0.350000
10,6,0.270000,1.374074,0.371000
10,6,0.280000,1.391667,0.389667
10,6,0.290000,1.397701,0.405333
10,6,0.300000,1.422222,0.426667
10,6,0.310000,1.440860,0.446667
10,6,0.320000,1.450000,0.464000
10,6,0.330000,1.467677,0.484333
10,6,0.340000,1.468627,0.499333
10,6,0.350000,1.509524,0.528333
10,6,0.360000,1.511111,0.544000
10,6,0.370000,1.536036,0.568333
10,6,0.380000,1.537719,0.584333
10,6,0.390000,1.558974,0.608000
10,6,0.400000,1.568333,0.627333
10,6,0.410000,1.591870,0.652667
10,6,0.420000,1.602381,0.673000
10,6,0.430000,1.621705,0.697333
10,6,0.440000,1.631061,0.717667
10,6,0.450000,1.644444,0.740000
10,6,0.460000,1.662319,0.764667
10,6,0.470000,1.670923,0.785334
10,6,0.480000,1.680558,0.806668
10,6,0.490000,1.698645,0.832336
10,6,0.500000,1.710712,0.855356
10,6,0.510000,1.723636,0.879054
10,6,0.520000,1.738015,0.903768
10,6,0.530000,1.748922,0.926928
10,6,0.540000,1.763530,0.952306
10,6,0.550000,1.771774,0.974476
10,8,0.020000,0.464286,0.009286
10,8,0.030000,0.170268,0.005108
10,8,0.040000,0.257169,0.010287
10,8,0.050000,0.304939,0.015247
10,8,0.060000,0.370634,0.022238
10,8,0.070000,0.425545,0.029788
10,8,0.080000,0.587404,0.046992
10,8,0.090000,0.617205,0.055548
10,8,0.100000,0.696238,0.069624
10,8,0.110000,0.805880,0.088647
10,8,0.120000,0.802742,0.096329
10,8,0.130000,0.889722,0.115664
10,8,0.140000,0.895233,0.125333
10,8,0.150000,0.906658,0.135999
10,8,0.160000,0.981250,0.157000
10,8,0.170000,0.996078,0.169333
10,8,0.180000,1.012963,0.182333
10,8,0.190000,1.043860,0.198333
10,8,0.200000,1.048333,0.209667
10,8,0.210000,1.073016,0.225333
10,8,0.220000,1.104545,0.243000
10,8,0.230000,1.126087,0.259000
10,8,0.240000,1.145833,0.275000
10,8,0.250000,1.149333,0.287333
10,8,0.260000,1.184615,0.308000
10,8,0.270000,1.161728,0.313667
10,8,0.280000,1.210714,0.339000
10,8,0.290000,1.218391,0.353333
10,8,0.300000,1.215556,0.364667
10,8,0.310000,1.250538,0.387667
10,8,0.320000,1.258333,0.402667
10,8,0.330000,1.282828,0.423333
10,8,0.340000,1.281373,0.435667
10,8,0.350000,1.295238,0.453333
10,8,0.360000,1.308333,0.471000
10,8,0.370000,1.339640,0.495667
10,8,0.380000,1.347368,0.512000
10,8,0.390000,1.361538,0.531000
10,8,0.400000,1.371667,0.548667
10,8,0.410000,1.376423,0.564333
10,8,0.420000,1.398413,0.587333
10,8,0.430000,1.398450,0.601333
10,8,0.440000,1.416667,0.623333
10,8,0.450000,1.422963,0.640333
10,8,0.460000,1.444203,0.664333
10,8,0.470000,1.425532,0.670000
10,8,0.480000,1.456944,0.699333
10,8,0.490000,1.465306,0.718000
10,8,0.500000,1.489334,0.744667
10,8,0.510000,1.492811,0.761333
10,8,0.520000,1.511541,0.786001
10,8,0.530000,1.508808,0.799668
10,8,0.540000,1.523458,0.822667
10,8,0.550000,1.533343,0.843338
10,8,0.560000,1.542923,0.864037
10,8,0.570000,1.544535,0.880385
10,8,0.580000,1.566621,0.908640
10,8,0.590000,1.581377,0.933012
10,8,0.600000,1.592886,0.955731
10,8,0.620000,1.609891,0.998132
20,16,0.020000,0.457550,0.009151
20,16,0.030000,0.130425,0.003913
20,16,0.040000,0.198020,0.007921
20,16,0.050000,0.249219,0.012461
20,16,0.060000,0.345312,0.020719
20,16,0.070000,0.584788,0.040935
20,16,0.080000,0.603015,0.048241
20,16,0.090000,0.787200,0.070848
20,16,0.100000,0.852398,0.085240
20,16,0.110000,0.927081,0.101979
20,16,0.120000,1.008322,0.120999
20,16,0.130000,1.015378,0.131999
20,16,0.140000,1.059523,0.148333
20,16,0.150000,1.108889,0.166333
20,16,0.160000,1.102083,0.176333
20,16,0.170000,1.141176,0.194000
20,16,0.180000,1.170370,0.210667
20,16,0.190000,1.192982,0.226667
20,16,0.200000,1.208333,0.241667
20,16,0.210000,1.228571,0.258000
20,16,0.220000,1.256061,0.276333
20,16,0.230000,1.259420,0.289667
20,16,0.240000,1.268056,0.304333
20,16,0.250000,1.278667,0.319667
20,16,0.260000,1.330769,0.346000
20,16,0.270000,1.318519,0.356000
20,16,0.280000,1.340476,0.375333
20,16,0.290000,1.357471,0.393667
20,16,0.300000,1.372222,0.411667
20,16,0.310000,1.391398,0.431333
20,16,0.320000,1.410417,0.451333
20,16,0.330000,1.425253,0.470333
20,16,0.340000,1.420588,0.483000
20,16,0.350000,1.434286,0.502000
20,16,0.360000,1.453704,0.523333
20,16,0.370000,1.471171,0.544333
20,16,0.380000,1.470175,0.558667
20,16,0.390000,1.489744,0.581000
20,16,0.400000,1.511667,0.604667
20,16,0.410000,1.516260,0.621667
20,16,0.420000,1.530952,0.643000
20,16,0.430000,1.536434,0.660667
20,16,0.440000,1.539394,0.677333
20,16,0.450000,1.566667,0.705000
20,16,0.460000,1.563043,0.719000
20,16,0.470000,1.589362,0.747000
20,16,0.480000,1.595139,0.765667
20,16,0.490000,1.599320,0.783667
20,16,0.500000,1.617334,0.808667
20,16,0.510000,1.625490,0.829000
20,16,0.520000,1.639744,0.852667
20,16,0.530000,1.651594,0.875345
20,16,0.540000,1.676124,0.905107
20,16,0.550000,1.656018,0.910810
20,16,0.560000,1.679803,0.940689
20,16,0.570000,1.697822,0.967759
20,16,0.580000,1.695112,0.983165
20,8,0.020000,0.464286,0.009286
20,8,0.040000,0.208548,0.008342
20,8,0.050000,0.273856,0.013693
20,8,0.060000,0.299576,0.017975
20,8,0.070000,0.547941,0.038356
20,8,0.080000,0.729425,0.058354
20,8,0.090000,0.797474,0.071773
20,8,0.100000,0.936428,0.093643
20,8,0.110000,0.990802,0.108988
20,8,0.120000,1.083332,0.130000
20,8,0.130000,1.094868,0.142333
20,8,0.140000,1.121428,0.157000
20,8,0.150000,1.202222,0.180333
20,8,0.160000,1.218750,0.195000
20,8,0.170000,1.247059,0.212000
20,8,0.180000,1.266667,0.228000
20,8,0.190000,1.298246,0.246667
20,8,0.200000,1.303333,0.260667
20,8,0.210000,1.349206,0.283333
20,8,0.220000,1.386364,0.305000
20,8,0.230000,1.378261,0.317000
20,8,0.240000,1.400000,0.336000
20,8,0.250000,1.412000,0.353000
20,8,0.260000,1.437179,0.373667
20,8,0.270000,1.444444,0.390000
20,8,0.280000,1.457143,0.408000
20,8,0.290000,1.498851,0.434667
20,8,0.300000,1.503333,0.451000
20,8,0.310000,1.517204,0.470333
20,8,0.320000,1.540625,0.493000
20,8,0.330000,1.561616,0.515333
20,8,0.340000,1.562745,0.531333
20,8,0.350000,1.587619,0.555667
20,8,0.360000,1.599074,0.575667
20,8,0.370000,1.623423,0.600667
20,8,0.380000,1.638596,0.622667
20,8,0.390000,1.661538,0.648000
20,8,0.400000,1.673333,0.669333
20,8,0.410000,1.699187,0.696667
20,8,0.420000,1.704762,0.716000
20,8,0.430000,1.726357,0.742333
