EPS,MSE,T
0.0845,0.237372788,0.964233866
0.085,0.238296095,0.962350597
0.0855,0.239217081,0.95999651
0.086,0.240135781,0.957642424
0.0865,0.241052186,0.955759154
0.087,0.241966327,0.953405068
0.0875,0.242878227,0.951521798
0.088,0.243787876,0.949167712
0.0885,0.244695327,0.947284443
0.089,0.245600554,0.944930356
0.0895,0.246503613,0.943047087
0.09,0.247404483,0.940693
0.0905,0.248303208,0.938809731
0.091,0.24919979,0.936455644
0.0915,0.250094236,0.934572375
0.092,0.250986585,0.932689106
0.0925,0.251876824,0.930335019
0.093,0.252764978,0.92845175
0.0935,0.253651072,0.926568481
0.094,0.25453511,0.924214394
0.0945,0.255417093,0.922331125
0.095,0.256297053,0.920447855
0.0955,0.257175004,0.918564586
0.096,0.258050956,0.916681317
0.0965,0.258924915,0.91432723
0.097,0.25979689,0.912443961
0.0975,0.260666905,0.910560692
0.098,0.261534972,0.908677423
0.0985,0.262401102,0.906794153
0.099,0.263265308,0.904910884
0.0995,0.2641276,0.903027615
0.1,0.264987992,0.901144345
0.1005,0.265846495,0.899261076
0.101,0.26670312,0.897377807
0.1015,0.267557881,0.895494538
0.102,0.268410787,0.893611268
0.1025,0.269261853,0.891727999
0.103,0.270111088,0.88984473
0.1035,0.270958506,0.887961461
0.104,0.271804118,0.886078191
0.1045,0.272647923,0.884665739
0.105,0.273489939,0.88278247
0.1055,0.274330182,0.880899201
0.106,0.275168664,0.879015932
0.1065,0.276005397,0.877132662
0.107,0.27684038,0.87572021
0.1075,0.27767362,0.873836941
0.108,0.278505145,0.871953672
0.1085,0.279334966,0.870070402
0.109,0.280163067,0.868657951
0.1095,0.280989476,0.866774681
0.11,0.281814216,0.864891412
0.1105,0.282637268,0.86347896
0.111,0.283458656,0.861595691
0.1115,0.284278407,0.859712422
0.112,0.285096485,0.85829997
0.1125,0.285912945,0.8564167
0.113,0.286727775,0.855004248
0.1135,0.287540982,0.853120979
0.114,0.288352593,0.851708527
0.1145,0.289162587,0.849825258
0.115,0.289971011,0.848412806
0.1155,0.290777829,0.846529537
0.116,0.291583097,0.845117085
