n,L,Delta,Kappa
100,3,0.37,0.277
100,3,0.38,0.290333
100,3,0.39,0.304
100,3,0.4,0.320666
100,3,0.41,0.328333
100,3,0.42,0.346667
100,3,0.43,0.360333
100,3,0.44,0.37566700000000003
100,3,0.45,0.394
100,3,0.46,0.406
100,3,0.47,0.418333
100,3,0.48,0.44166700000000003
100,3,0.49,0.446667
100,3,0.5,0.467333
100,3,0.51,0.486333
100,3,0.52,0.505667
100,3,0.53,0.521667
100,3,0.54,0.545
100,3,0.55,0.558334
100,3,0.56,0.5846680000000001
100,3,0.57,0.608668
100,3,0.58,0.63334
100,3,0.59,0.64968
100,3,0.6,0.6763819999999999
100,3,0.61,0.7074010000000001
100,3,0.62,0.723805
100,3,0.63,0.756354
100,3,0.64,0.788732
100,3,0.65,0.812916
100,3,0.66,0.8375940000000001
100,3,0.67,0.8794549999999999
100,3,0.68,0.907415
100,3,0.69,0.961942
100,3,0.7,0.9725959999999999
100,3,0.71,1.027847
100,3,0.72,1.03398
100,3,0.73,1.0628879999999998
100,3,0.74,1.064511
100,3,0.75,1.118166
100,3,0.76,1.125034
100,3,0.77,1.132783
100,3,0.78,-1344124422948638.5
100,3,0.79,1.218689
100,3,0.8,-1344124422948638.5
100,3,0.81,-1344124422948638.5
100,3,0.82,-1344124422948638.5
100,3,0.83,-1344124422948638.5
100,3,0.84,-1344124422948638.5
100,3,0.85,-1344124422948638.5
100,3,0.86,-1344124422948638.5
100,3,0.87,-1344124422948638.5
100,3,0.88,-1344124422948638.5
100,3,0.89,-1344124422948638.5
100,3,0.9,-1344124422948638.5
100,3,0.91,-1344124422948638.5
100,3,0.92,-1344124422948638.5
100,3,0.93,-1344124422948638.5
100,3,0.94,-1344124422948638.5
100,3,0.95,-1344124422948638.5
100,3,0.96,-1344124422948638.5
100,3,0.97,-1344124422948638.5
100,3,0.98,-1344124422948638.5
100,3,0.99,-1344124422948638.5
100,4,0.03,0.0023769999999999998
100,4,0.04,0.010511
100,4,0.05,0.0057020000000000005
100,4,0.06,0.016963
100,4,0.07,0.024919
100,4,0.08,0.03048
100,4,0.09,0.030232
100,4,0.1,0.04028
100,4,0.11,0.041238
100,4,0.12,0.050649
100,4,0.13,0.054956
100,4,0.14,0.06665700000000001
100,4,0.15,0.07261799999999999
100,4,0.16,0.079992
100,4,0.17,0.08732899999999999
100,4,0.18,0.095326
100,4,0.19,0.10399800000000001
100,4,0.2,0.114665
100,4,0.21,0.118663
100,4,0.22,0.127998
100,4,0.23,0.140999
100,4,0.24,0.14466500000000002
100,4,0.25,0.153331
100,4,0.26,0.166
100,4,0.27,0.17166700000000001
100,4,0.28,0.182999
100,4,0.29,0.194
100,4,0.3,0.208
100,4,0.31,0.217333
100,4,0.32,0.221333
100,4,0.33,0.23766700000000002
100,4,0.34,0.257333
100,4,0.35,0.269667
100,4,0.36,0.282667
100,4,0.37,0.29
100,4,0.38,0.298
100,4,0.39,0.32
100,4,0.4,0.332667
100,4,0.41,0.346667
100,4,0.42,0.365667
100,4,0.43,0.37133299999999997
100,4,0.44,0.392333
100,4,0.45,0.413667
100,4,0.46,0.426
100,4,0.47,0.449333
100,4,0.48,0.465667
100,4,0.49,0.487667
100,4,0.5,0.499
100,4,0.51,0.521333
100,4,0.52,0.539667
100,4,0.53,0.556667
100,4,0.54,0.598337
100,4,0.55,0.6236689999999999
100,4,0.56,0.632007
100,4,0.57,0.67135
100,4,0.58,0.691765
100,4,0.59,0.724903
100,4,0.6,0.753753
100,4,0.61,0.788115
100,4,0.62,0.815183
100,4,0.63,0.851158
100,4,0.64,0.894343
100,4,0.65,0.919148
100,4,0.66,0.959038
100,4,0.67,1.023668
100,4,0.68,1.048883
100,4,0.69,1.082568
100,4,0.7,1.102331
100,4,0.71,1.146696
100,4,0.72,1.116356
100,4,0.73,1.299733
100,4,0.74,1.205194
100,4,0.75,1.109587
100,4,0.76,-1344124422948638.5
100,4,0.77,1.058538
100,4,0.78,-1344124422948638.5
100,4,0.79,-1344124422948638.5
100,4,0.8,-1344124422948638.5
100,4,0.81,-1344124422948638.5
100,4,0.82,-1344124422948638.5
100,4,0.83,-1344124422948638.5
100,4,0.84,-1344124422948638.5
100,4,0.85,-1344124422948638.5
100,4,0.86,-1344124422948638.5
100,4,0.87,-1344124422948638.5
100,4,0.88,-1344124422948638.5
100,4,0.89,-1344124422948638.5
100,4,0.9,-1344124422948638.5
100,4,0.91,-1344124422948638.5
100,4,0.92,-1344124422948638.5
100,4,0.93,-1344124422948638.5
100,4,0.94,-1344124422948638.5
100,4,0.95,-1344124422948638.5
100,4,0.96,-1344124422948638.5
100,4,0.97,-1344124422948638.5
100,4,0.98,-1344124422948638.5
100,4,0.99,-1344124422948638.5
100,4,1.0,-1344124422948638.5
100,5,0.03,0.009481
100,5,0.04,0.006764
100,5,0.05,0.012038
100,5,0.06,0.018536
100,5,0.07,0.022216999999999997
100,5,0.08,0.030864
100,5,0.09,0.033469
100,5,0.1,0.037867000000000005
100,5,0.11,0.044932
100,5,0.12,0.053295
100,5,0.13,0.056302
100,5,0.14,0.063305
100,5,0.15,0.074659
100,5,0.16,0.083996
100,5,0.17,0.085327
100,5,0.18,0.094331
100,5,0.19,0.10666500000000001
100,5,0.2,0.11033299999999999
100,5,0.21,0.118665
100,5,0.22,0.123999
100,5,0.23,0.135666
100,5,0.24,0.145
100,5,0.25,0.156667
100,5,0.26,0.167
100,5,0.27,0.17866700000000002
100,5,0.28,0.187667
100,5,0.29,0.198
100,5,0.3,0.206
100,5,0.31,0.219
100,5,0.32,0.232
100,5,0.33,0.248
100,5,0.34,0.255
100,5,0.35,0.273667
100,5,0.36,0.278333
100,5,0.37,0.292667
100,5,0.38,0.308667
100,5,0.39,0.325667
100,5,0.4,0.336667
100,5,0.41,0.353
100,5,0.42,0.377
100,5,0.43,0.386
100,5,0.44,0.398667
100,5,0.45,0.412
100,5,0.46,0.433
100,5,0.47,0.458
100,5,0.48,0.480333
100,5,0.49,0.507
100,5,0.5,0.518667
100,5,0.51,0.546
100,5,0.52,0.576
100,5,0.53,0.594669
100,5,0.54,0.620346
100,5,0.55,0.66805
100,5,0.56,0.679674
100,5,0.57,0.72631
100,5,0.58,0.74102
100,5,0.59,0.77162
100,5,0.6,0.7991050000000001
100,5,0.61,0.8359780000000001
100,5,0.62,0.87434
100,5,0.63,0.9450770000000001
100,5,0.64,0.9432520000000001
100,5,0.65,1.014292
100,5,0.66,1.0096319999999999
100,5,0.67,1.073706
100,5,0.68,1.1038540000000001
100,5,0.69,1.1421620000000001
100,5,0.7,1.111879
100,5,0.71,1.409278
100,5,0.72,1.155047
100,5,0.73,1.105537
100,5,0.74,-1344124422948638.5
100,5,0.75,-1344124422948638.5
100,5,0.76,-1344124422948638.5
100,5,0.77,-1344124422948638.5
100,5,0.78,-1344124422948638.5
100,5,0.79,-1344124422948638.5
100,5,0.8,-1344124422948638.5
100,5,0.81,-1344124422948638.5
100,5,0.82,-1344124422948638.5
100,5,0.83,-1344124422948638.5
100,5,0.84,-1344124422948638.5
100,5,0.85,-1344124422948638.5
100,5,0.86,-1344124422948638.5
100,5,0.87,-1344124422948638.5
100,5,0.88,-1344124422948638.5
100,5,0.89,-1344124422948638.5
100,5,0.9,-1344124422948638.5
100,5,0.91,-1344124422948638.5
100,5,0.92,-1344124422948638.5
100,5,0.93,-1344124422948638.5
100,5,0.94,-1344124422948638.5
100,5,0.95,-1344124422948638.5
100,5,0.96,-1344124422948638.5
100,5,0.97,-1344124422948638.5
100,5,0.98,-1344124422948638.5
100,5,0.99,-1344124422948638.5
100,5,1.0,-1344124422948638.5
100,6,0.04,0.006764
100,6,0.05,0.013525
100,6,0.06,0.016018
100,6,0.07,0.019991
100,6,0.08,0.027442
100,6,0.09,0.034604
100,6,0.1,0.038192000000000004
100,6,0.11,0.047319
100,6,0.12,0.053320000000000006
100,6,0.13,0.061329999999999996
100,6,0.14,0.065663
100,6,0.15,0.071315
100,6,0.16,0.082331
100,6,0.17,0.08833099999999999
100,6,0.18,0.092998
100,6,0.19,0.106
100,6,0.2,0.110999
100,6,0.21,0.121333
100,6,0.22,0.127667
100,6,0.23,0.136666
100,6,0.24,0.148333
100,6,0.25,0.154667
100,6,0.26,0.165667
100,6,0.27,0.173
100,6,0.28,0.186667
100,6,0.29,0.19733299999999998
100,6,0.3,0.20966700000000002
100,6,0.31,0.217
100,6,0.32,0.23033299999999998
100,6,0.33,0.241
100,6,0.34,0.246667
100,6,0.35,0.264667
100,6,0.36,0.276
100,6,0.37,0.293667
100,6,0.38,0.304333
100,6,0.39,0.320333
100,6,0.4,0.342333
100,6,0.41,0.350667
100,6,0.42,0.370667
100,6,0.43,0.389333
100,6,0.44,0.405
100,6,0.45,0.426
100,6,0.46,0.450667
100,6,0.47,0.470667
100,6,0.48,0.492
100,6,0.49,0.523333
100,6,0.5,0.540667
100,6,0.51,0.564667
100,6,0.52,0.592337
100,6,0.53,0.619012
100,6,0.54,0.654041
100,6,0.55,0.688207
100,6,0.56,0.7098180000000001
100,6,0.57,0.741535
100,6,0.58,0.785814
100,6,0.59,0.823312
100,6,0.6,0.8505950000000001
100,6,0.61,0.896166
100,6,0.62,0.930183
100,6,0.63,0.960617
100,6,0.64,1.002058
100,6,0.65,1.0306739999999999
100,6,0.66,1.103133
100,6,0.67,1.115326
100,6,0.68,1.161904
100,6,0.69,1.198766
100,6,0.7,1.1179940000000002
100,6,0.71,1.521363
100,6,0.72,1.256638
100,6,0.73,1.9676360000000002
100,6,0.74,-1344124422948638.5
100,6,0.75,-1344124422948638.5
100,6,0.76,-1344124422948638.5
100,6,0.77,-1344124422948638.5
100,6,0.78,-1344124422948638.5
100,6,0.79,-1344124422948638.5
100,6,0.8,-1344124422948638.5
100,6,0.81,-1344124422948638.5
100,6,0.82,-1344124422948638.5
100,6,0.83,-1344124422948638.5
100,6,0.84,-1344124422948638.5
100,6,0.85,-1344124422948638.5
100,6,0.86,-1344124422948638.5
100,6,0.87,-1344124422948638.5
100,6,0.88,-1344124422948638.5
100,6,0.89,-1344124422948638.5
100,6,0.9,-1344124422948638.5
100,6,0.91,-1344124422948638.5
100,6,0.92,-1344124422948638.5
100,6,0.93,-1344124422948638.5
100,6,0.94,-1344124422948638.5
100,6,0.95,-1344124422948638.5
100,6,0.96,-1344124422948638.5
100,6,0.97,-1344124422948638.5
100,6,0.98,-1344124422948638.5
100,6,0.99,-1344124422948638.5
100,7,0.04,0.008422
100,7,0.05,0.009604999999999999
100,7,0.06,0.017338
100,7,0.07,0.022109999999999998
100,7,0.08,0.025700999999999998
100,7,0.09,0.035236
100,7,0.1,0.039654
100,7,0.11,0.049944999999999996
100,7,0.12,0.052633000000000006
100,7,0.13,0.059997
100,7,0.14,0.065978
100,7,0.15,0.07499700000000001
100,7,0.16,0.079999
100,7,0.17,0.08833300000000001
100,7,0.18,0.097666
100,7,0.19,0.104333
100,7,0.2,0.110999
100,7,0.21,0.11866700000000001
100,7,0.22,0.12466700000000001
100,7,0.23,0.131333
100,7,0.24,0.144333
100,7,0.25,0.151333
100,7,0.26,0.163333
100,7,0.27,0.16933299999999998
100,7,0.28,0.182333
100,7,0.29,0.193333
100,7,0.3,0.201667
100,7,0.31,0.211
100,7,0.32,0.221333
100,7,0.33,0.238333
100,7,0.34,0.247333
100,7,0.35,0.25566700000000003
100,7,0.36,0.273667
100,7,0.37,0.291667
100,7,0.38,0.304
100,7,0.39,0.31566700000000003
100,7,0.4,0.335667
100,7,0.41,0.346667
100,7,0.42,0.37333299999999997
100,7,0.43,0.393
100,7,0.44,0.404
100,7,0.45,0.43033299999999997
100,7,0.46,0.451333
100,7,0.47,0.475667
100,7,0.48,0.49333299999999997
100,7,0.49,0.524667
100,7,0.5,0.549667
100,7,0.51,0.57967
100,7,0.52,0.608672
100,7,0.53,0.640042
100,7,0.54,0.672117
100,7,0.55,0.7012229999999999
100,7,0.56,0.743937
100,7,0.57,0.7717390000000001
100,7,0.58,0.804837
100,7,0.59,0.8477370000000001
100,7,0.6,0.899476
100,7,0.61,0.928692
100,7,0.62,0.971719
100,7,0.63,0.9883190000000001
100,7,0.64,1.021158
100,7,0.65,1.053554
100,7,0.66,1.1161510000000001
100,7,0.67,1.103183
100,7,0.68,1.172993
100,7,0.69,1.069721
100,7,0.7,1.296727
100,7,0.71,1.092803
100,7,0.72,-1344124422948638.5
100,7,0.73,-1344124422948638.5
100,7,0.74,-1344124422948638.5
100,7,0.75,-1344124422948638.5
100,7,0.76,-1344124422948638.5
100,7,0.77,-1344124422948638.5
100,7,0.78,-1344124422948638.5
100,7,0.79,-1344124422948638.5
100,7,0.8,-1344124422948638.5
