n,L,Delta,Kappa
100,15,0.86,-1344124422948638.5
100,15,0.87,-1344124422948638.5
100,15,0.88,-1344124422948638.5
100,15,0.89,-1344124422948638.5
100,15,0.9,-1344124422948638.5
100,15,0.91,-1344124422948638.5
100,15,0.92,-1344124422948638.5
100,15,0.93,-1344124422948638.5
100,15,0.94,-1344124422948638.5
100,15,0.95,-1344124422948638.5
100,15,0.96,-1344124422948638.5
100,15,0.97,-1344124422948638.5
100,15,0.98,-1344124422948638.5
100,15,0.99,-1344124422948638.5
100,20,0.04,0.008345
100,20,0.05,0.013716999999999998
100,20,0.06,0.016018
100,20,0.07,0.021435
100,20,0.08,0.030948000000000003
100,20,0.09,0.037781999999999996
100,20,0.1,0.041916
100,20,0.11,0.046978
100,20,0.12,0.052661
100,20,0.13,0.061666
100,20,0.14,0.066996
100,20,0.15,0.07066599999999999
100,20,0.16,0.078
100,20,0.17,0.081998
100,20,0.18,0.089667
100,20,0.19,0.09766699999999999
100,20,0.2,0.101
100,20,0.21,0.10833399999999999
100,20,0.22,0.116667
100,20,0.23,0.119334
100,20,0.24,0.129
100,20,0.25,0.136
100,20,0.26,0.143
100,20,0.27,0.149
100,20,0.28,0.157
100,20,0.29,0.163667
100,20,0.3,0.173
100,20,0.31,0.17966700000000002
100,20,0.32,0.185333
100,20,0.33,0.193667
100,20,0.34,0.208
100,20,0.35,0.215
100,20,0.36,0.232
100,20,0.37,0.24
100,20,0.38,0.253
100,20,0.39,0.260333
100,20,0.4,0.28
100,20,0.41,0.304331
100,20,0.42,0.31899099999999997
100,20,0.43,0.33733
100,20,0.44,0.361989
100,20,0.45,0.401977
100,20,0.46,0.426972
100,20,0.47,0.45796099999999995
100,20,0.48,0.498321
100,20,0.49,0.54627
100,20,0.5,0.581634
100,20,0.51,0.628521
100,20,0.52,0.673355
100,20,0.53,0.72921
100,20,0.54,0.7827770000000001
100,20,0.55,0.814783
100,20,0.56,0.8842540000000001
100,20,0.57,0.915641
100,20,0.58,0.9760559999999999
100,20,0.59,1.015478
100,20,0.6,1.040067
100,20,0.61,1.052973
100,20,0.62,1.140779
100,20,0.63,1.219142
100,20,0.64,1.199611
100,20,0.65,1.249999
100,20,0.66,1.269625
100,20,0.67,1.2738180000000001
100,20,0.68,1.001363
100,20,0.69,1.116598
100,20,0.7,1.165786
100,20,0.71,-1344124422948638.5
100,20,0.72,-1344124422948638.5
100,20,0.73,-1344124422948638.5
100,20,0.74,-1344124422948638.5
100,20,0.75,-1344124422948638.5
100,20,0.76,-1344124422948638.5
100,20,0.77,-1344124422948638.5
100,20,0.78,-1344124422948638.5
100,20,0.79,-1344124422948638.5
100,20,0.8,-1344124422948638.5
100,20,0.81,-1344124422948638.5
100,20,0.82,-1344124422948638.5
100,20,0.83,-1344124422948638.5
100,20,0.84,-1344124422948638.5
100,20,0.85,-1344124422948638.5
100,20,0.86,-1344124422948638.5
100,20,0.87,-1344124422948638.5
100,20,0.88,-1344124422948638.5
100,20,0.89,-1344124422948638.5
100,20,0.9,-1344124422948638.5
100,20,0.91,-1344124422948638.5
100,20,0.92,-1344124422948638.5
100,20,0.93,-1344124422948638.5
100,20,0.94,-1344124422948638.5
100,20,0.95,-1344124422948638.5
100,20,0.96,-1344124422948638.5
100,20,0.97,-1344124422948638.5
100,20,0.98,-1344124422948638.5
100,20,0.99,-1344124422948638.5
