"k","eps","mse"
1,0.000499750124937531,0.00464509240061922
1,0.000749562671769573,0.0065362375390081
1,0.000999375218601615,0.00830800762366981
1,0.00124918776543366,0.00999212837924116
1,0.0014990003122657,0.011607186772553
1,0.00174881285909774,0.0131653926636853
1,0.00199862540592978,0.01467537998254
1,0.00224843795276182,0.0161435688467604
1,0.00249825049959387,0.0175749182699137
1,0.00274806304642591,0.0189733711625189
1,0.00299787559325795,0.0203421362801548
1,0.00324768814008999,0.021683872858115
1,0.00349750068692203,0.0230008201444079
1,0.00374731323375408,0.0242948909190106
1,0.00399712578058612,0.0255677353508139
1,0.00424693832741816,0.0268207911688939
1,0.0044967508742502,0.0280553225870347
1,0.00474656342108224,0.029272446618973
1,0.00499637596791429,0.0304731645884181
1,0.00524618851474633,0.0316583689376558
1,0.00549600106157837,0.0328288695660189
1,0.00574581360841041,0.0339853966982849
1,0.00599562615524245,0.0351286165591573
1,0.0062454387020745,0.0362591388453338
1,0.00649525124890654,0.0373775218822878
1,0.00674506379573858,0.0384842763494793
1,0.00699487634257062,0.0395798805524013
1,0.00724468888940266,0.0406647734433952
1,0.00749450143623471,0.0417393602278654
1,0.00774431398306675,0.0428040253559534
1,0.00799412652989879,0.0438591208879745
1,0.00824393907673083,0.0449049817924083
1,0.00849375162356287,0.0459419132491238
1,0.00874356417039492,0.0469702076827602
1,0.00899337671722696,0.0479901443974135
1,0.009243189264059,0.0490019789015813
1,0.00949300181089104,0.0500059557261398
1,0.00974281435772308,0.0510023070194929
1,0.00999262690455513,0.0519912482233573
1,0.0102424394513872,0.052972991126656
1,0.0104922519982192,0.0539477248773276
1,0.0107420645450513,0.0549156434654388
1,0.0109918770918833,0.0558769232673852
1,0.0112416896387153,0.0568317305745614
1,0.0114915021855474,0.0577802298028925
1,0.0117413147323794,0.058722574012697
1,0.0119911272792115,0.0596589104772728
1,0.0122409398260435,0.06058938031003
1,0.0124907523728755,0.0615141206719396
1,0.0127405649197076,0.0624332569678657
1,0.0129903774665396,0.0633469178142989
1,0.0132401900133717,0.0642552168321769
1,0.0134900025602037,0.0651582740088635
1,0.0137398151070358,0.0660561920683026
1,0.0139896276538678,0.0669490858575977
1,0.0142394402006998,0.067837048729696
1,0.0144892527475319,0.0687201844415677
1,0.0147390652943639,0.0695985870481524
1,0.014988877841196,0.0704723454277184
1,0.015238690388028,0.0713415468806631
1,0.01548850293486,0.0722062786916387
1,0.0157383154816921,0.0730666234298672
1,0.0159881280285241,0.0739226583787785
1,0.0162379405753562,0.0747744610917919
1,0.0164877531221882,0.075622109393461
1,0.0167375656690203,0.0764656659512651
1,0.0169873782158523,0.0773052124606138
1,0.0172371907626843,0.0781408062473587
1,0.0174870033095164,0.078972516806594
1,0.0177368158563484,0.0798004094303314
1,0.0179866284031805,0.080624543619111
1,0.0182364409500125,0.0814449757204954
1,0.0184862534968446,0.0822617734148807
1,0.0187360660436766,0.0830749824048898
1,0.0189858785905086,0.0838846678893424
1,0.0192356911373407,0.0846908761848238
1,0.0194855036841727,0.0854936586192995
1,0.0197353162310048,0.0862930697195066
1,0.0199851287778368,0.0870891587613207
1,0.0202349413246688,0.0878819657883125
1,0.0204847538715009,0.0886715458022296
1,0.0207345664183329,0.0894579481510027
1,0.020984378965165,0.0902412005887841
1,0.021234191511997,0.0910213639229806
1,0.0214840040588291,0.0917984712869888
1,0.0217338166056611,0.0925725617950979
1,0.0219836291524931,0.0933436807030864
1,0.0222334416993252,0.0941118658966753
1,0.0224832542461572,0.0948771553387638
1,0.0227330667929893,0.0956395870695903
1,0.0229828793398213,0.0963991982639277
1,0.0232326918866534,0.0971560144626239
1,0.0234825044334854,0.0979100836382575
1,0.0237323169803174,0.0986614356144419
1,0.0239821295271495,0.0994100999581679
1,0.0242319420739815,0.10015611286817
1,0.0244817546208136,0.100899510734634
1,0.0247315671676456,0.10164030951929
1,0.0249813797144776,0.102378552077312
1,0.0252311922613097,0.103114266706787
1,0.0254810048081417,0.103847481465987
1,0.0257308173549738,0.10457822445798
1,0.0259806299018058,0.105306523830694
1,0.0262304424486379,0.106032407776977
1,0.0264802549954699,0.10675590453466
1,0.0267300675423019,0.10747703570122
1,0.026979880089134,0.108195825972053
1,0.027229692635966,0.108912310754591
1,0.0274795051827981,0.109626503952872
1,0.0277293177296301,0.1103384365246
1,0.0279791302764621,0.111048128570035
1,0.0282289428232942,0.111755610074925
